Ticker,Fiscal Date,Adjusted Close
AAPL,9/30/2024,232.18
AAPL,9/30/2023,172.26
AAPL,9/30/2022,136.21
AAPL,9/30/2021,138.68
AAPL,9/30/2020,112.78
AAPL,9/30/2019,53.99
AAPL,9/30/2018,53.95
AAPL,9/30/2017,35.97
AAPL,9/30/2016,25.98
AAPL,9/30/2015,24.82
AAPL,9/30/2014,22.29
AAPL,9/30/2013,14.73
AAPL,9/30/2012,19.9
AAPL,9/30/2011,11.46
AAPL,9/30/2010,8.53
AAPL,9/30/2009,5.57
AAPL,9/30/2008,3.42
AAPL,9/30/2007,4.7
AAPL,9/30/2006,2.31
AAPL,9/30/2005,1.61
MSFT,6/30/2024,453.25
MSFT,6/30/2023,335.33
MSFT,6/30/2022,250.48
MSFT,6/30/2021,262.06
MSFT,6/30/2020,194.98
MSFT,6/30/2019,128.41
MSFT,6/30/2018,91.84
MSFT,6/30/2017,62.97
MSFT,6/30/2016,45.6
MSFT,6/30/2015,38.28
MSFT,6/30/2014,35.23
MSFT,6/30/2013,28.19
MSFT,6/30/2012,24.33
MSFT,6/30/2011,20.15
MSFT,6/30/2010,17.42
MSFT,6/30/2009,17.65
MSFT,6/30/2008,19.94
MSFT,6/30/2007,21.06
MSFT,6/30/2006,16.42
MSFT,6/30/2005,17.28
NVDA,1/31/2025,120.06
NVDA,1/31/2024,61.5
NVDA,1/31/2023,19.52
NVDA,1/31/2022,24.44
NVDA,1/31/2021,13.2
NVDA,1/31/2020,6.12
NVDA,1/31/2019,3.56
NVDA,1/31/2018,6.08
NVDA,1/31/2017,2.69
NVDA,1/31/2016,0.71
NVDA,1/31/2015,0.46
NVDA,1/31/2014,0.37
NVDA,1/31/2013,0.28
NVDA,1/31/2012,0.34
NVDA,1/31/2011,0.55
NVDA,1/31/2010,0.38
NVDA,1/31/2009,0.18
NVDA,1/31/2008,0.56
NVDA,1/31/2007,0.47
NVDA,1/31/2006,0.34
