fiscalDateEnding,reportedCurrency,operating_cf,depreciationDepletionAndAmortization,capex,changeInReceivables,changeInInventory,cf_investing,cf_financing,dividendPayout,dividendPayoutCommonStock,proceedsFromRepurchaseOfEquity,change_in_cash,changeInExchangeRate,net_income,Ticker,Statement
2024-06-30,USD,118548000000,22287000000,44477000000,,1284000000.0,-96970000000,-37757000000,21771000000,21771000000,-17254000000,,,88136000000,MSFT,CASH_FLOW
2023-06-30,USD,87582000000,13861000000,28107000000,,1242000000.0,-22680000000,-43935000000,19800000000,19800000000,-22245000000,,,72361000000,MSFT,CASH_FLOW
2022-06-30,USD,89035000000,14460000000,23886000000,-6834000000.0,-1123000000.0,-30311000000,-58876000000,18135000000,18135000000,-32696000000,-152000000.0,,72738000000,MSFT,CASH_FLOW
2021-06-30,USD,76740000000,11686000000,20622000000,-6481000000.0,-737000000.0,-27577000000,-48486000000,16521000000,16521000000,-27385000000,648000000.0,-29000000.0,61271000000,MSFT,CASH_FLOW
2020-06-30,USD,60675000000,12796000000,15441000000,-2577000000.0,168000000.0,-12223000000,-46031000000,15137000000,15137000000,-22968000000,2220000000.0,-201000000.0,44281000000,MSFT,CASH_FLOW
2019-06-30,USD,52185000000,11682000000,13925000000,-2812000000.0,597000000.0,-15773000000,-36887000000,13811000000,13811000000,-19543000000,-590000000.0,-115000000.0,39240000000,MSFT,CASH_FLOW
2018-06-30,USD,43884000000,10261000000,11632000000,-3862000000.0,-465000000.0,-6061000000,-33590000000,12699000000,12699000000,-10721000000,4283000000.0,50000000.0,16571000000,MSFT,CASH_FLOW
2017-06-30,USD,39507000000,8778000000,8129000000,-925000000.0,50000000.0,-46781000000,8408000000,11845000000,11845000000,-11788000000,1153000000.0,19000000.0,25489000000,MSFT,CASH_FLOW
2016-06-30,USD,33325000000,6622000000,8343000000,-530000000.0,600000000.0,-23950000000,-8393000000,11006000000,11006000000,-15969000000,915000000.0,-67000000.0,20539000000,MSFT,CASH_FLOW
2015-06-30,USD,29668000000,5957000000,5944000000,1456000000.0,-272000000.0,-23001000000,-9668000000,9882000000,9882000000,-14443000000,-3074000000.0,-73000000.0,12193000000,MSFT,CASH_FLOW
2014-06-30,USD,32502000000,5212000000,5485000000,-1120000000.0,-161000000.0,-18833000000,-8665000000,8879000000,8879000000,-7316000000,4865000000.0,-139000000.0,22074000000,MSFT,CASH_FLOW
2013-06-30,USD,28833000000,3755000000,4257000000,-1807000000.0,-802000000.0,-23811000000,-8148000000,7455000000,7455000000,-5360000000,-3134000000.0,-8000000.0,21863000000,MSFT,CASH_FLOW
2012-06-30,USD,31626000000,2967000000,2305000000,-1156000000.0,184000000.0,-24786000000,-9408000000,6385000000,6385000000,-5029000000,-2672000000.0,-104000000.0,16978000000,MSFT,CASH_FLOW
2011-06-30,USD,26994000000,2766000000,2355000000,-1451000000.0,-561000000.0,-14616000000,-8376000000,5180000000,5180000000,-11555000000,4105000000.0,103000000.0,23150000000,MSFT,CASH_FLOW
2010-06-30,USD,24073000000,2673000000,1977000000,-2238000000.0,0.0,-11314000000,-13291000000,4578000000,4578000000,-11269000000,-571000000.0,-39000000.0,18760000000,MSFT,CASH_FLOW
2009-06-30,USD,19037000000,2562000000,3119000000,,,-15770000000,-7463000000,4468000000,4468000000,-9353000000,,,14569000000,MSFT,CASH_FLOW
2008-06-30,USD,21612000000,2056000000,3182000000,,,-4587000000,-12934000000,4015000000,4015000000,-12533000000,,,17681000000,MSFT,CASH_FLOW
2007-06-30,USD,17796000000,1440000000,2264000000,,,6089000000,-24544000000,3805000000,3805000000,-27575000000,,,14065000000,MSFT,CASH_FLOW
2006-06-30,USD,14404000000,903000000,1578000000,,,8003000000,-20562000000,3545000000,3545000000,-19207000000,,,12599000000,MSFT,CASH_FLOW
2005-06-30,USD,16605000000,855000000,812000000,,,15027000000,-41078000000,36112000000,36112000000,-8057000000,,,12254000000,MSFT,CASH_FLOW
