fiscalDateEnding,reportedCurrency,gross_profit,revenue,costOfRevenue,costofGoodsAndServicesSold,operating_income,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,interestExpense,otherNonOperatingIncome,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,ebit,ebitda,net_income,Ticker,Statement
2024-09-30,USD,180683000000,391035000000,210352000000,210352000000,123216000000,26097000000,31370000000,57467000000,0,,11445000000,123485000000,29749000000,93736000000.0,123216000000,134661000000,93736000000,AAPL,INCOME_STATEMENT
2023-09-30,USD,169148000000,383285000000,214137000000,214137000000,114301000000,24932000000,29915000000,54847000000,3933000000,-382000000.0,11519000000,113736000000,16741000000,96995000000.0,114301000000,125820000000,96995000000,AAPL,INCOME_STATEMENT
2022-09-30,USD,170782000000,394328000000,223546000000,223546000000,119437000000,25094000000,26251000000,51573000000,2931000000,334000000.0,11104000000,119103000000,19300000000,99803000000.0,119437000000,130541000000,99803000000,AAPL,INCOME_STATEMENT
2021-09-30,USD,152836000000,365817000000,212981000000,212981000000,108949000000,21973000000,21914000000,43887000000,2645000000,258000000.0,11284000000,109207000000,14527000000,94680000000.0,111852000000,123136000000,94680000000,AAPL,INCOME_STATEMENT
2020-09-30,USD,104956000000,274515000000,169559000000,169559000000,66288000000,19916000000,18752000000,38668000000,2873000000,803000000.0,11056000000,67091000000,9680000000,57411000000.0,69964000000,81020000000,57411000000,AAPL,INCOME_STATEMENT
2019-09-30,USD,98392000000,260174000000,161782000000,161782000000,63930000000,18245000000,16217000000,34462000000,3576000000,1807000000.0,12547000000,65737000000,10481000000,55256000000.0,69313000000,81860000000,55256000000,AAPL,INCOME_STATEMENT
2018-09-30,USD,101839000000,265595000000,163756000000,163756000000,70898000000,16705000000,14236000000,30941000000,3240000000,2005000000.0,10903000000,72903000000,13372000000,59531000000.0,76143000000,87046000000,59531000000,AAPL,INCOME_STATEMENT
2017-09-30,USD,88186000000,229234000000,141048000000,141048000000,61344000000,15261000000,11581000000,26842000000,2323000000,2745000000.0,9400000000,64089000000,15738000000,48351000000.0,66412000000,75812000000,48351000000,AAPL,INCOME_STATEMENT
2016-09-30,USD,84263000000,215639000000,131376000000,131376000000,60024000000,14194000000,10045000000,24239000000,1456000000,1348000000.0,9800000000,61372000000,15685000000,45687000000.0,62828000000,72628000000,45687000000,AAPL,INCOME_STATEMENT
2015-09-30,USD,93626000000,233715000000,140089000000,140089000000,71230000000,14329000000,8067000000,22396000000,733000000,1285000000.0,11257000000,72515000000,19121000000,53394000000.0,72491000000,83748000000,53394000000,AAPL,INCOME_STATEMENT
2014-09-30,USD,70537000000,182795000000,112258000000,112258000000,52503000000,11993000000,6041000000,18034000000,384000000,980000000.0,7946000000,53483000000,13973000000,39510000000.0,53921000000,61867000000,39510000000,AAPL,INCOME_STATEMENT
2013-09-30,USD,64304000000,170910000000,106606000000,106606000000,48999000000,9730000000,4475000000,15305000000,136000000,1156000000.0,6757000000,50155000000,13118000000,37037000000.0,50294000000,57051000000,37037000000,AAPL,INCOME_STATEMENT
2012-09-30,USD,68662000000,156508000000,87846000000,87846000000,55241000000,9040000000,3381000000,13421000000,522000000,522000000.0,3277000000,55763000000,14030000000,41733000000.0,55691000000,58968000000,41733000000,AAPL,INCOME_STATEMENT
2011-09-30,USD,44522000000,108249000000,64431000000,64431000000,34494000000,7599000000,2429000000,10028000000,415000000,415000000.0,1814000000,34205000000,8283000000,25922000000.0,34183000000,35997000000,25922000000,AAPL,INCOME_STATEMENT
2010-09-30,USD,25684000000,65225000000,39541000000,39541000000,18270000000,5517000000,1782000000,7299000000,155000000,155000000.0,1027000000,18540000000,4527000000,14013000000.0,18397000000,19424000000,14013000000,AAPL,INCOME_STATEMENT
2009-09-30,USD,17222000000,42905000000,25683000000,25683000000,11370000000,4149000000,1333000000,5482000000,326000000,326000000.0,734000000,12066000000,3831000000,8235000000.0,11991000000,12725000000,8235000000,AAPL,INCOME_STATEMENT
2008-09-30,USD,11145000000,32479000000,21334000000,21334000000,6275000000,3761000000,1109000000,4870000000,620000000,,496000000,6895000000,2061000000,,6808000000,7304000000,4834000000,AAPL,INCOME_STATEMENT
2007-09-30,USD,8154000000,24006000000,15852000000,15852000000,4409000000,2963000000,782000000,3745000000,599000000,,317000000,5008000000,1512000000,,4407000000,4724000000,3495000000,AAPL,INCOME_STATEMENT
2006-09-30,USD,5598000000,19315000000,13717000000,13717000000,2453000000,2433000000,712000000,3145000000,365000000,,225000000,2818000000,829000000,,2453000000,2678000000,1989000000,AAPL,INCOME_STATEMENT
2005-09-30,USD,4042000000,13931000000,9889000000,9889000000,1643000000,1859000000,535000000,2399000000,165000000,,179000000,1815000000,480000000,,1643000000,1822000000,1328000000,AAPL,INCOME_STATEMENT
